jname,stock,genus,spp,Pauly,Pauly_update,Jensen,Hoenig,Hoenig_update,Gislason1,Gislason2,FishLife,FishLife_lowSD,FishLife_uppSD,FishLife_estimate_taxon_level,median
マイワシ,太平洋,NA,NA,NA,NA,NA,0.6142857142857142,0.8241336267140553,NA,NA,NA,NA,NA,"NA",0.7192096704998847
マイワシ,対馬暖流,NA,NA,NA,NA,NA,0.6142857142857142,0.8241336267140553,NA,NA,NA,NA,NA,"NA",0.7192096704998847
マアジ,太平洋,NA,NA,NA,NA,NA,0.86,1.1216333541528898,NA,NA,NA,NA,NA,"NA",0.9908166770764448
マアジ,対馬暖流,NA,NA,0.6055744439221168,0.47463697320846693,0.41250000000000003,0.86,1.1216333541528898,0.6677381313095317,0.6767296914456251,NA,NA,NA,"NA",0.6677381313095317
マサバ,太平洋,NA,NA,0.4390342994910634,0.3632099486582713,0.30000000000000004,0.43,0.5944391978427923,0.36279184708166395,0.38144795145540256,NA,NA,NA,"NA",0.38144795145540256
マサバ,太平洋2,NA,NA,NA,NA,NA,0.3909090909090909,0.5447431023813297,NA,NA,NA,NA,NA,"NA",0.4678260966452103
マサバ,対馬暖流,NA,NA,0.6764355633149525,0.5893443133286159,0.558,0.7166666666666667,0.9491194953683715,0.5893940601251514,0.616218870207656,NA,NA,NA,"NA",0.616218870207656
ゴマサバ,太平洋,NA,NA,NA,NA,NA,0.7166666666666667,0.9491194953683715,NA,NA,NA,NA,NA,"NA",0.832893081017519
ゴマサバ,東シナ海,NA,NA,NA,NA,NA,0.7166666666666667,0.9491194953683715,NA,NA,NA,NA,NA,"NA",0.832893081017519
スケトウダラ,日本海北部,NA,NA,NA,NA,NA,0.43,0.5944391978427923,NA,NA,NA,NA,NA,"NA",0.5122195989213961
スケトウダラ,根室海峡,NA,NA,NA,NA,NA,0.2263157894736842,0.3301939723319731,NA,NA,NA,NA,NA,"NA",0.2782548809028287
スケトウダラ,オホーツク海南部,NA,NA,NA,NA,NA,0.26875,0.38648579408232836,NA,NA,NA,NA,NA,"NA",0.3276178970411642
スケトウダラ,太平洋,NA,NA,NA,NA,NA,0.215,0.31503874115695757,NA,NA,NA,NA,NA,"NA",0.2650193705784788
ズワイガニ,オホーツク海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ズワイガニ,太平洋北部,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ズワイガニ,日本海A海域_富山県以西,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ズワイガニ,日本海B海域_新潟県以北,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ズワイガニ,北海道西部,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
スルメイカ,冬季発生系群,NA,NA,NA,NA,NA,4.3,4.899,NA,NA,NA,NA,NA,"NA",4.5995
スルメイカ,秋季発生系群,NA,NA,NA,NA,NA,4.3,4.899,NA,NA,NA,NA,NA,"NA",4.5995
マアナゴ,伊勢三河湾,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ウルメイワシ,太平洋,NA,NA,0.39337136814536366,0.3439859152992055,0.2052,2.15,2.5963543429316416,0.2444422444894697,0.2311771520403103,NA,NA,NA,"NA",0.3439859152992055
ウルメイワシ,対馬暖流,NA,NA,0.3137007011287986,0.2668465144628619,0.15000000000000002,2.15,2.5963543429316416,0.18089330816949023,0.1730118079525898,NA,NA,NA,"NA",0.2668465144628619
ニシン,北海道,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
カタクチイワシ,太平洋,NA,NA,1.412440368755028,1.2069042154790628,1.0050000000000001,1.075,1.376006506238007,1.0378389969358413,0.9467766357855479,NA,NA,NA,"NA",1.075
カタクチイワシ,瀬戸内海,NA,NA,NA,0.36411998109385674,0.17835,2.15,2.5963543429316416,0.1938459132560011,0.17090313517233952,NA,NA,NA,"NA",0.2789829471749289
カタクチイワシ,対馬暖流_春季発生群,NA,NA,NA,0.4275758373054417,0.22499999999999998,1.4333333333333333,1.7908712732020464,0.2543099694889846,0.22457685120374504,NA,NA,NA,"NA",0.3409429033972131
カタクチイワシ,対馬暖流_秋季発生群,NA,NA,NA,0.2852281338296423,0.135,1.4333333333333333,1.7908712732020464,0.17540563459102476,0.15579990207517475,NA,NA,NA,"NA",0.23031688421033353
ニギス,日本海,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
ニギス,太平洋,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
イトヒキダラ,太平洋,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
マダラ,北海道_太平洋側,NA,NA,0.2031546122226146,0.3399012160512808,0.3885,0.5375,0.7292509631298724,0.5101865429544373,0.6028668716656455,NA,NA,NA,"NA",0.5101865429544373
マダラ,北海道_武蔵,NA,NA,0.26903164320667705,0.4652905463798616,0.5880000000000001,0.5375,0.7292509631298724,0.7344763346228248,0.8660929399147679,NA,NA,NA,"NA",0.5880000000000001
マダラ,北海道_松前小島,NA,NA,0.11429610633629338,0.17786645057007036,0.1845,0.5375,0.7292509631298724,0.38149248131090796,0.45940218331428884,NA,NA,NA,"NA",0.38149248131090796
マダラ,太平洋北部,NA,NA,0.1377994151538971,0.21935195027376672,0.24,0.5375,0.7292509631298724,0.5356379558518317,0.6362540574330352,NA,NA,NA,"NA",0.5356379558518317
マダラ,日本海,NA,NA,NA,NA,NA,0.47777777777777775,0.6546682827475647,NA,NA,NA,NA,NA,"NA",0.5662230302626712
キアンコウ,太平洋北部,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA
キンメダイ,太平洋male_Izu1,NA,NA,NA,0.22425245174720154,0.162,0.16538461538461538,0.24773755820851662,0.19257865158877643,0.20589530432661646,NA,NA,NA,"NA",0.19923697795769646
キンメダイ,太平洋female_Izu1,NA,NA,NA,0.2185419657311538,0.162,0.16538461538461538,0.24773755820851662,0.21552176947060994,0.23150812438497706,NA,NA,NA,"NA",0.2170318676008819
